query_acc	subject_acc	perc_ident	align_length	mismatches	gap_opens	query_start	query_end	subject_start	subject_end	evalue	bit_score
1__0_partial_1-cat_1	46R-Month6-9_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-9_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-8_1	100	42742	0	0	1	42742	2793262	2836003	0	78930
1__0_partial_1-cat_1	46R-Month6-8_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-7_1	100	42742	0	0	1	42742	2800580	2843321	0	78930
1__0_partial_1-cat_1	46R-Month6-7_1	86.834	1709	204	19	26444	28143	2099897	2098201	0	1890
1__0_partial_1-cat_1	46R-Month6-6_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-6_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-5_1	100	42742	0	0	1	42742	2422007	2379266	0	78930
1__0_partial_1-cat_1	46R-Month6-4_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-4_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-3_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-3_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-2_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-2_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-1_1	100	42742	0	0	1	42742	2800586	2843327	0	78930
1__0_partial_1-cat_1	46R-Month6-1_1	86.834	1709	204	19	26444	28143	2099903	2098207	0	1890
1__0_partial_1-cat_1	46R-Month6-12_1	100	42742	0	0	1	42742	2800586	2843327	0	78930
1__0_partial_1-cat_1	46R-Month6-12_1	86.834	1709	204	19	26444	28143	2099903	2098207	0	1890
1__0_partial_1-cat_1	46R-Month6-11_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-11_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month6-10_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month6-10_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month3-9_1	100	42742	0	0	1	42742	2800146	2842887	0	78930
1__0_partial_1-cat_1	46R-Month3-9_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
1__0_partial_1-cat_1	46R-Month3-8_4	100	42742	0	0	1	42742	259783	302524	0	78930
1__0_partial_1-cat_1	46R-Month3-7_1	100	42742	0	0	1	42742	2800587	2843328	0	78930
1__0_partial_1-cat_1	46R-Month3-7_1	86.834	1709	204	19	26444	28143	2099904	2098208	0	1890
