feature-id	short-id	qiita_sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	host_age	host_subject_id	isolate_number	mouse_dob	mouse_id	sex	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run
23B_Day7_11_S38_AZ20_mut	23B_Day7_11	12986.23B.Day7.11	10	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	11	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_12_S384_AZ20_mut	23B_Day7_12	12986.23B.Day7.12	10	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	12	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_13_S1294_AZ20_mut	23B_Day7_13	12986.23B.Day7.13	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	13	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_14_S1295_AZ20_mut	23B_Day7_14	12986.23B.Day7.14	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	14	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_16_S1297_AZ20_mut	23B_Day7_16	12986.23B.Day7.16	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	16	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_17_S1298_AZ20_mut	23B_Day7_17	12986.23B.Day7.17	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	17	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_18_S1299_AZ20_mut	23B_Day7_18	12986.23B.Day7.18	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	18	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_2_S768_AZ20_mut	23B_Day7_2	12986.23B.Day7.2	10	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	2	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_20_S1_AZ20_mut	23B_Day7_20	12986.23B.Day7.20	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	20	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
23B_Day7_21_S1302_AZ20_mut	23B_Day7_21	12986.23B.Day7.21	14	23	Day7	7/19/17 10:00	7/12/17 0:00	RC	10	23B	21	5/2/17 0:00	23B	male	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1
