,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,# unique markers (of 43),# multi-copy,Taxonomy,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,# genomic features,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75,ID,status,superkingdom,phylum,class,order,family,genus
23B_Day7_11_S38,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,135,63,40,33,23,17,4994030,4964912,4916350,4868040,4711528,4505883,89,670168,4982223,5064668,50.54,50.57,323484,323484,156552,156552,5,5,11,11,0,0,0,1,0,0,0,0 + 0 part,0,98.37,1.000,0.00,1.63,0.18,4607 + 54 part,670168,4982220,323484,323484,156552,156552,5,5,11,11,AZ20_assemblies/23B_Day7_11_S38.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_12_S384,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065168,5065168,5061995,5056481,5056481,5056481,3,5056481,5065168,5064668,50.57,50.57,5056481,5056481,5056481,5056481,1,1,1,1,2,1,5056481,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.73,0.22,4730 + 2 part,4694373,5063920,4694373,4694373,4694373,4694373,1,1,1,1,AZ20_assemblies/23B_Day7_12_S384.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_13_S1294,Bacteria,5449,104,58,0,86,18,0,0,0,100.0,13.79,100.0,32,11,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,31,31,24,14,6,1,5475531,5475531,5448928,5376002,5248441,5054136,31,5054136,5475531,5064668,50.53,50.57,5054136,5054136,5054136,5054136,1,1,1,1,9,7,5218603,12,0,0,0,0 + 1 part,1547,99.869,1.082,0.00,12.85,2.89,4721 + 4 part,4571355,5471892,4571355,4571355,4571355,4571355,1,1,1,1,AZ20_assemblies/23B_Day7_13_S1294.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_14_S1295,Bacteria,5449,104,58,0,101,3,0,0,0,100.0,5.17,100.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,16,16,14,12,8,8,5363807,5363807,5356829,5344549,5278954,5278954,16,2787855,5363807,5064668,50.56,50.57,2787855,2787855,1330316,1330316,1,1,2,2,2,2,1386462,10,0,0,0,0 + 1 part,1267,99.88,1.060,0.00,6.07,0.81,4720 + 7 part,2787634,5360446,2787634,2787634,1313104,1313104,1,1,2,2,AZ20_assemblies/23B_Day7_14_S1295.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_16_S1297,Bacteria,5449,104,58,0,95,9,0,0,0,100.0,12.07,100.0,39,4,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,17,17,11,10,6,4,5554755,5554755,5537468,5531954,5475405,5398360,17,5046245,5554755,5064668,50.58,50.57,5046245,5046245,5046245,5046245,1,1,1,1,5,5,290372,9,0,0,0,0 + 1 part,1451,99.776,1.099,0.00,6.13,1.92,4715 + 5 part,5044233,5552302,5044233,5044233,5044233,5044233,1,1,1,1,AZ20_assemblies/23B_Day7_16_S1297.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_17_S1298,Bacteria,5449,104,58,0,103,1,0,0,0,100.0,0.16,0.0,42,1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,189,72,47,38,26,20,4985196,4949314,4890400,4829242,4641195,4430884,95,628151,4964454,5064668,50.53,50.57,234479,234479,112854,112854,7,7,13,13,0,0,0,1,0,0,0,0 + 0 part,0,98.017,1.000,0.00,1.13,0.04,4582 + 61 part,628151,4964453,234479,234479,112854,112854,7,7,13,13,AZ20_assemblies/23B_Day7_17_S1298.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_18_S1299,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,3,3,2,1,1,1,5065179,5065179,5062006,5056492,5056492,5056492,3,5056492,5065179,5064668,50.57,50.57,5056492,5056492,5056492,5056492,1,1,1,1,2,1,5056492,1,0,0,0,0 + 0 part,0,99.921,1.001,0.00,2.37,0.12,4730 + 2 part,4694384,5063931,4694384,4694384,4694384,4694384,1,1,1,1,AZ20_assemblies/23B_Day7_18_S1299.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_20_S1,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,164,71,46,36,28,22,4985528,4952651,4889490,4819941,4695805,4490903,95,611060,4968905,5064668,50.53,50.57,218092,218092,107353,107353,7,7,14,14,0,0,0,0,0,0,0,0 + 0 part,0,98.109,1.000,0.00,1.43,0.00,4590 + 57 part,611060,4968904,218092,218092,107353,107353,7,7,14,14,AZ20_assemblies/23B_Day7_20_S1.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_21_S1302,Bacteria,5449,104,58,0,104,0,0,0,0,100.0,0.0,0.0,43,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,167,72,46,37,27,20,4986309,4953123,4891270,4829970,4674524,4426510,95,611060,4968690,5064668,50.53,50.57,253347,253347,112988,112988,7,7,13,13,0,0,0,1,0,0,0,0 + 0 part,0,98.105,1.000,0.00,1.21,0.04,4590 + 57 part,611060,4968689,253347,253347,112988,112988,7,7,13,13,AZ20_assemblies/23B_Day7_21_S1302.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
23B_Day7_22_S1,Bacteria,5449,104,58,0,76,28,0,0,0,100.0,26.02,100.0,31,12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae,330,322,50,11,7,7,5946139,5941951,5289768,5039451,4983364,4983364,326,1994945,5944910,5064668,50.58,50.57,1090158,1090158,337171,750630,2,2,5,3,248,207,1830448,13,0,0,0,0 + 0 part,0,98.977,1.186,0.00,29.30,10.19,4659 + 24 part,1994935,5937764,1088505,1088505,337171,750092,2,2,5,3,AZ20_assemblies/23B_Day7_22_S1.fasta,found,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
