	index	PERMANOVA_PseudoF	p_value	unifrac_type	num_samples	num_sequences
286	hcp	4.164108331040892	0.002	unweighted	1117	1117
287	nuoC	2.733919471425325	0.02	unweighted	1143	1143
288	yhjA	2.647715407198996	0.014	unweighted	1140	1140
289	trmO	3.4059987785916386	0.009	unweighted	1182	1182
290	cusC_1	4.41848177121235	0.001	unweighted	1208	1208
291	ccmG	3.611205050966482	0.003	unweighted	1162	1162
292	nagZ	3.8030591107556275	0.003	unweighted	1164	1164
293	fruB_1	2.7754309654683516	0.015	unweighted	1204	1204
294	mcbA	3.9552543176877113	0.003	unweighted	1144	1144
295	clsA	5.911649936887831	0.001	unweighted	1170	1170
296	pgaD	4.311491263467157	0.001	unweighted	1175	1175
297	fucA_2	4.878439334805515	0.001	unweighted	1188	1188
298	speB	3.378430060224467	0.008	unweighted	1161	1161
299	ldcC	3.864547524543664	0.001	unweighted	1170	1170
300	araG	3.2878787264969356	0.006	unweighted	1169	1169
301	mdtC	3.2299224158637756	0.007	unweighted	1145	1145
302	katE	2.6993728234479173	0.01	unweighted	1143	1143
303	solA	3.8228868614706495	0.001	unweighted	1168	1168
304	metN	3.4312172556420073	0.003	unweighted	1170	1170
305	ybeX	3.71825387945565	0.002	unweighted	1155	1155
306	msrC	3.88025003805444	0.005	unweighted	1175	1175
307	qseF	2.3814659871152077	0.025	unweighted	1156	1156
308	deoC	2.9557689373329	0.011	unweighted	1179	1179
309	mdtI	3.6131085396445273	0.002	unweighted	1175	1175
310	ansB	4.532922715863533	0.002	unweighted	1167	1167
311	yggP_1	2.9277516265681127	0.003	unweighted	1206	1206
312	btuD	3.1709742687481905	0.008	unweighted	1162	1162
313	tmcA	2.9797026043857855	0.005	unweighted	1156	1156
314	greA	2.39176492143382	0.025	unweighted	1178	1178
315	atpE	2.8366083457725573	0.021	unweighted	1181	1181
316	fimZ_1	3.908639333956301	0.001	unweighted	1211	1211
317	gapA_1	5.133052262976584	0.001	unweighted	1205	1205
318	sufE	4.316376523867444	0.001	unweighted	1177	1177
319	ycbX	3.074904148323672	0.007	unweighted	1160	1160
320	blc	3.1098905033421853	0.007	unweighted	1156	1156
321	dfp	2.766998283647116	0.015	unweighted	1166	1166
322	yhdE	2.3038345232472373	0.053	unweighted	1176	1176
323	ruvB	3.8243050976150696	0.004	unweighted	1164	1164
324	yhcB	2.3769483619733136	0.04	unweighted	1174	1174
325	cmtA	3.873129509584147	0.001	unweighted	1165	1165
326	fhuA_1	6.2738675373822215	0.001	unweighted	1212	1212
327	bglX	4.066154284743533	0.001	unweighted	1159	1159
328	ydfH	4.61361134505814	0.001	unweighted	1166	1166
329	ydhF	3.976885741082485	0.002	unweighted	1185	1185
330	yidH	2.80017815403406	0.016	unweighted	1175	1175
331	psuK	3.0728564138818175	0.016	unweighted	1178	1178
332	yhjK	2.983094297905079	0.01	unweighted	1155	1155
333	nuoI	3.127580828517534	0.013	unweighted	1155	1155
334	yicO	2.8928188671528057	0.02	unweighted	1171	1171
335	aroC	2.911397921238306	0.014	unweighted	1165	1165
336	thiE	2.627092891081916	0.025	unweighted	1173	1173
337	yfaU	3.1772799736216433	0.007	unweighted	1159	1159
338	nlpE	4.042522322275215	0.001	unweighted	1178	1178
339	fixB	2.7087637204091837	0.016	unweighted	1151	1151
340	yjjQ	3.639326333122922	0.002	unweighted	1166	1166
341	ygbN	4.570706698244255	0.002	unweighted	1169	1169
342	caiF	3.542602035806092	0.002	unweighted	1165	1165
343	ykgD	4.208986850929488	0.002	unweighted	1168	1168
344	gltB	2.143837673548006	0.062	unweighted	1138	1138
345	frdB	2.9901651509600575	0.011	unweighted	1168	1168
346	lpoA	2.6888081348688573	0.024	unweighted	1167	1167
347	yjiG	2.7065499223345664	0.017	unweighted	1187	1187
348	coaA_2	10.704302235614545	0.001	unweighted	1206	1206
349	arnC_1	2.592847023204015	0.008	unweighted	1210	1210
350	yfeD	3.002652547369942	0.016	unweighted	1169	1169
351	nupC	2.3660140344185665	0.037	unweighted	1161	1161
352	pepP	4.187094882521554	0.001	unweighted	1163	1163
353	hemD	2.886555408954475	0.008	unweighted	1161	1161
354	gntX	4.064922674572548	0.002	unweighted	1169	1169
355	rbfA	2.5385246084975948	0.033	unweighted	1165	1165
356	murE	3.527742976130462	0.005	unweighted	1166	1166
357	yahA_1	2.130189535186446	0.024	unweighted	1201	1201
358	phnL	2.75242062617055	0.019	unweighted	1182	1182
359	ybhJ	3.111800623176147	0.007	unweighted	1169	1169
360	ampC	2.366566318272382	0.034	unweighted	1166	1166
361	ycaN	4.080426675614979	0.002	unweighted	1148	1148
362	nrfA	2.941704351798787	0.011	unweighted	1163	1163
363	minD	4.616005103228502	0.001	unweighted	1162	1162
364	fadH_1	5.494254890701725	0.001	unweighted	1210	1210
365	elfC	3.0976522542367193	0.006	unweighted	1169	1169
366	agaR_2	4.676522691232062	0.001	unweighted	1184	1184
367	rpmB	3.8422123312276826	0.003	unweighted	1176	1176
368	yafS	2.3907980870035535	0.028	unweighted	1165	1165
369	allR	3.5296073304710975	0.003	unweighted	1173	1173
370	nikE	2.73396963007635	0.026	unweighted	1174	1174
371	grsB	3.7354927749297224	0.001	unweighted	1142	1142
372	mscM	3.779422250863372	0.003	unweighted	1167	1167
373	mpaA_2	5.465360682628689	0.001	unweighted	1195	1195
374	dtnK_2	5.266654117976503	0.001	unweighted	1205	1205
375	ycaD	3.4101190870760134	0.004	unweighted	1158	1158
376	rpmH	3.3395659957083934	0.006	unweighted	1191	1191
377	yncD	3.7927756133602766	0.002	unweighted	1141	1141
378	entA	4.3552238481438605	0.003	unweighted	1158	1158
379	acnB	4.104697781748403	0.002	unweighted	1152	1152
380	ybfN	3.35626437345791	0.008	unweighted	1174	1174
381	ychM	5.017804022302547	0.001	unweighted	1158	1158
382	gstB	3.4108625033051196	0.002	unweighted	1131	1131
383	garD_3	5.624045902729924	0.001	unweighted	1203	1203
384	paaH	4.211109842296895	0.001	unweighted	1161	1161
385	era_4	6.1817079779771555	0.001	unweighted	1203	1203
386	atoE	3.075324023485916	0.011	unweighted	1162	1162
387	nanS_1	6.36939945337504	0.001	unweighted	1199	1199
388	stpA	4.647796712872373	0.001	unweighted	1178	1178
389	prmA	2.2042499201140595	0.055	unweighted	1153	1153
390	nadC_1	5.191054012324978	0.001	unweighted	1204	1204
391	frmA	2.726941802115629	0.022	unweighted	1155	1155
392	emrB_1	3.697765606485114	0.002	unweighted	1212	1212
393	truB	2.962233315206548	0.006	unweighted	1164	1164
394	yqjG	2.9622983682838178	0.007	unweighted	1176	1176
395	cytR_1	4.58853966861538	0.001	unweighted	1210	1210
396	yeeY	2.8683003526324864	0.009	unweighted	1178	1178
397	gcvR	3.113505704887966	0.009	unweighted	1171	1171
398	phnF	3.809617095935229	0.001	unweighted	1189	1189
399	tesB	3.6962161520783967	0.002	unweighted	1177	1177
400	relA	4.828166207816528	0.001	unweighted	1146	1146
401	torA	2.9154892633552794	0.011	unweighted	1154	1154
402	tbpA	3.1193649628733437	0.007	unweighted	1176	1176
403	lamB	3.007562517511474	0.011	unweighted	1157	1157
404	yeeS_4	3.965618971620493	0.001	unweighted	1099	1099
405	rfbX	2.641903974962518	0.015	unweighted	1171	1171
406	mscS	3.5515556726003332	0.002	unweighted	1177	1177
407	yahC	3.6366916644768765	0.003	unweighted	1162	1162
408	dgoA_1	12.035854453446728	0.001	unweighted	1206	1206
409	sbmC	3.4242519761455403	0.004	unweighted	1155	1155
410	hydN	4.157408301667594	0.002	unweighted	1172	1172
411	fimA_3	3.5827956884189742	0.001	unweighted	1197	1197
412	yaaJ	3.0470958787120295	0.012	unweighted	1170	1170
413	hycI	4.311693407451171	0.001	unweighted	1167	1167
414	sgrR	3.0367897585871146	0.014	unweighted	1168	1168
415	yfeZ	2.542278081609242	0.025	unweighted	1176	1176
416	pepN	3.356231409846733	0.006	unweighted	1153	1153
417	nohA	5.064230563065411	0.001	unweighted	1172	1172
418	pfkB	3.368626342171319	0.002	unweighted	1157	1157
419	btuB_2	5.318273486147759	0.001	unweighted	1203	1203
420	yjiY	6.167203223467604	0.001	unweighted	1146	1146
421	ygeW	3.466780410612926	0.006	unweighted	1174	1174
422	rlmA	3.9346011020753955	0.004	unweighted	1174	1174
423	flk	2.7802868453279443	0.017	unweighted	1162	1162
424	lptD	3.030941415822328	0.011	unweighted	1163	1163
425	hrpA	3.980185935006377	0.002	unweighted	1110	1110
426	kup	3.2526904589759003	0.007	unweighted	1170	1170
427	gnsA	2.9495816874803578	0.012	unweighted	1171	1171
428	yjcC_1	6.056549732288744	0.001	unweighted	1211	1211
429	cusS	3.7804020685481405	0.002	unweighted	1157	1157
430	ydjX_1	3.672505610270276	0.001	unweighted	1205	1205
431	murR_1	3.682189795319354	0.002	unweighted	1206	1206
432	srlR_2	4.564197106707293	0.001	unweighted	1207	1207
433	hisA	3.225945655354583	0.008	unweighted	1168	1168
434	pepD	3.8366596352367885	0.002	unweighted	1169	1169
435	mepA_1	2.9505499788360563	0.006	unweighted	1211	1211
436	cydA	2.6917001120834847	0.02	unweighted	1163	1163
437	fepD	4.067461250795868	0.002	unweighted	1156	1156
438	serB	26.72165410688695	0.001	unweighted	1160	1160
439	valS	3.7582977897204533	0.001	unweighted	1081	1081
440	yiiD	3.4095556802871823	0.004	unweighted	1175	1175
441	murQ	3.210887558935241	0.004	unweighted	1180	1180
442	wecH	3.124862102764364	0.008	unweighted	1175	1175
443	glmU_1	5.6646714438528045	0.001	unweighted	1116	1116
444	der	2.152917228085313	0.039	unweighted	1158	1158
445	leuS	4.066230322543584	0.001	unweighted	1154	1154
446	pelX	3.8918011517347058	0.002	unweighted	1148	1148
447	yibD_2	7.717535131173128	0.001	unweighted	1191	1191
448	yhiI	3.0848668058539896	0.005	unweighted	1173	1173
449	mnmG	2.8833832122324936	0.009	unweighted	1175	1175
450	ubiE	3.4942611618087085	0.005	unweighted	1165	1165
451	gpp	4.488405133441202	0.001	unweighted	1166	1166
452	modC	4.406985029948642	0.001	unweighted	1177	1177
453	fbaA	3.360572742808927	0.008	unweighted	1173	1173
454	ttdT	2.931220503267881	0.01	unweighted	1170	1170
455	uspC	3.59505612958856	0.005	unweighted	1169	1169
456	paaF_1	4.105954210013085	0.002	unweighted	1207	1207
457	dinF	3.187631682645119	0.01	unweighted	1166	1166
458	rusA_2	5.532433426890235	0.001	unweighted	1202	1202
459	gatC_1	2.9164223524061064	0.005	unweighted	1205	1205
460	purT	4.076063586906798	0.002	unweighted	1149	1149
461	cspC	3.7241648255775863	0.005	unweighted	1172	1172
