	sample_name	box_id	cage_id	collection_timepoint	collection_timestamp	date_colonized	diet	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	iacuc_institute	iacuc_protocol_id	isolate_number	latitude	latitude_units	life_stage	longitude	longitude_units	mouse_dob	mouse_id	mouse_strain	qiita_study_id	sample_type	scientific_name	sex	taxon_id	tube_id	zarrinparlab_quant_ng_ul	mouse	dam	sire	date_collected	bacteria_strain	extraction_method	extraction_kit	run	plate	observed_features	bin_name	outliers
23B_Day7_1	12986.23B.Day7.1	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	1	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-1_Day7	78.0	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23B_Day7_10	12986.23B.Day7.10	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	10	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-10_Day7	53.3	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
23B_Day7_11	12986.23B.Day7.11	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	11	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-11_Day7	80.6	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23B_Day7_12	12986.23B.Day7.12	10.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	12	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-12_Day7	49.1	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23B_Day7_13	12986.23B.Day7.13	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	13	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-13_Day7	48.6	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		11	AZ20_main	no
23B_Day7_14	12986.23B.Day7.14	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	14	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-14_Day7	39.3	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Day7_15	12986.23B.Day7.15	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	15	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-15_Day7	77.3	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		21	middle	no
23B_Day7_16	12986.23B.Day7.16	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	16	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-16_Day7	69.8	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		12	AZ20_main	no
23B_Day7_17	12986.23B.Day7.17	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	17	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-17_Day7	20.2	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		14	AZ20_main	no
23B_Day7_18	12986.23B.Day7.18	14.0	23.0	Day7	7/19/17 10:00	7/12/17 0:00	RC	193.0	meters	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	mouse	Mus musculus	23B	10090.0	not provided	g	UCSD	S16285	18	32.842	Decimal degrees	adult	-117.258	Decimal degrees	5/2/17 0:00	23B	C57Bl/6	12986.0	fecal culture	mouse gut metagenome	male	410661.0	23B-18_Day7	60.1	23B	A1	A	7/19/17	AZ20	filter	Qiagen UltraClean	1.0		22	middle	no
